TIME,Value,time,index_All_sentiment,index_All_sentiment_(w/o_pos_and_neg),index_Crisis_sentiment,index_Fear_sentiment,index_Hedging_sentiment,index_Negative_sentiment,index_Negative_sentiment_+,index_Opinion_sentiment,index_Positive_sentiment,index_Risk_sentiment
1997-07,12.54,1997-07,55.140750359412,37.842600751286895,0.231878681074062,1.9014051848073,25.3675277095023,23.466122524695106,53.424848119463995,9.46065018782173,14.654732643880699,7.4664935305848
1997-08,13.77,1997-08,47.888858621629105,35.521656224462,0.0544810678289294,1.47098883138109,22.2282756742032,21.9558703350585,49.359847453010204,11.005175701443699,10.4603650231544,7.19150095341868
1997-09,13.47,1997-09,51.525618883131706,34.1105354058722,0.46776050662061,1.72711571675302,21.3730569948186,23.208117443868694,49.6905584340816,8.815486470926881,12.3416810592976,7.232297063903282
1997-10,14.82,1997-10,29.222636673608108,21.648092633698692,0.114419094258449,1.53321586306322,13.501453122497,12.5861003684294,29.4743586809766,6.04132817684615,7.9635689603881,4.439460857227849
1997-11,13.04,1997-11,26.5098935793799,18.4807163659127,0.16330529925696,1.30644239405568,11.4041533981111,11.4313709479872,25.7478021828474,5.552380174736661,7.294303366810911,3.5110639340246497
1997-12,10.63,1997-12,54.1108060087222,41.0272976901953,0.4845743821676621,2.26134711678242,26.3285414311096,20.5136488450977,53.4647068324986,10.014537231465,12.275884348247398,6.13794217412372
1998-01,19.17,1998-01,39.2435715109351,29.0963600722604,0.4228004766114461,1.30683783679901,17.719183610715998,17.527001575892598,40.2813544989814,8.03320905561748,8.571318753122961,6.07295230041895
1998-02,18.23,1998-02,61.297910612979,37.221530372215206,0.1383700013837,2.4906600249066,19.9252801992528,32.3785803237857,59.2223605922235,13.4218901342189,18.5415801854158,9.1324200913242
1998-03,14.36,1998-03,68.1572154217669,44.716462653010105,0.457989840952618,2.4981264051961003,25.439253892913605,33.6414355899741,67.3245066200349,14.405862269964096,18.402864518277894,10.283953701390601
1998-04,15.72,1998-04,56.982394144002,40.8279169558907,0.252413706064239,3.65999873793146,25.556887739004196,24.357922635199103,55.65722218716479,10.9799962137944,14.829305231273999,6.87827349025051
1998-05,14.75,1998-05,59.0010820661771,45.7315336864287,0.22780340566091395,2.96144427359189,28.247622301953395,24.8875220684549,59.6275414317446,14.8072213679594,14.1238111509766,9.28298878068226
1998-06,14.86,1998-06,56.539997951449394,39.229744955444005,0.102427532520741,2.90211342142101,26.153163303629302,25.9824507494281,56.471712929769,8.842910307624019,12.6327290108914,6.82850216804943
1998-07,16.48,1998-07,32.7911943486117,23.656973878757896,0.13142763265976598,2.1356990307212,15.048463939543199,15.4098899293576,32.889765073106496,6.04567110234926,7.6556596024314,4.92853622474125
1998-08,18.65,1998-08,36.9437715160014,23.2691572102511,0.19125334693357104,1.7850312380466598,14.599005482595901,18.74282799949,35.891878107866795,6.3751115644523715,10.933316333035801,4.68570699987249
1998-10,18.78,1998-10,60.73977552047871,47.620457843456705,0.35537655107057103,3.40569194775964,28.755885924127107,27.0678473065419,62.9608789646698,15.5181093967482,12.467794000059197,9.565552166316223
1998-11,14.89,1998-11,54.27880254006661,41.78006249370021,0.251990726741255,3.57826831972583,24.9470819473843,25.803850418304602,56.395524644693204,13.657897389375998,9.978832778953741,8.870073581292198
1998-12,13.49,1998-12,58.6255259467039,49.8176718092566,0.0561009817671809,4.824684431977559,29.0042075736325,26.479663394109306,62.27208976157071,17.1107994389901,13.127629733520301,10.7152875175315
1999-01,12.75,1999-01,29.1745217418177,20.9537348950767,0.0927156411286584,1.9161232499922696,13.196526253979002,13.8455357418796,30.1016781531043,6.83005222981117,6.73733658868251,3.67772043143678
1999-02,10.04,1999-02,32.2215941209723,25.042396834369697,0.113058224985867,1.7524024872809398,14.188807235726301,15.7150932730355,33.8609383832673,9.04465799886941,7.8575466365178,6.16167326172979
1999-03,11.09,1999-03,36.3895915249567,25.3700318064564,0.35062235467955605,1.12700042575571,15.6527836910516,16.5042951238448,35.9638358085601,8.06431415762979,9.14122567557413,4.55809061083423
1999-04,13.59,1999-04,41.3483305036786,29.1454442558008,0.106112054329371,1.94538766270514,17.8975664968873,19.029428409734003,41.4190718732315,9.30249009620826,8.87804187889077,5.76542161856253
1999-05,11.71,1999-05,33.084775211757105,26.0624049808151,0.14479113878230598,1.30312024904075,15.2030695721421,13.899949323101401,35.401433432274,9.55621515963222,8.25309491059146,4.4885253022515
1999-06,9.28,1999-06,35.1981525625745,26.407926102502998,0.297973778307508,1.97407628128724,16.4630512514898,15.494636471990399,36.2038140643624,8.15703218116805,8.306019070321799,4.69308700834326
1999-07,9.76,1999-07,39.1487909932192,22.986054842423897,0.0852914836453579,1.4073094801483998,13.646637383257199,19.915561431191,36.9738581602626,8.10269094630901,11.087892873896502,4.77632308414004
1999-08,9.93,1999-08,43.69619058851279,31.7549239297087,0.20639226323858895,2.12289185045406,18.9586036089161,20.462318669654397,44.1974289420922,11.4400283052246,10.083736289656802,6.427644769430351
1999-09,9.91,1999-09,64.38642872879501,47.7528089887641,0.385547477417933,3.74531835205992,25.335977087464105,33.212161269001896,66.64463538224301,17.5699493280458,16.1929940515532,11.7867371667768
1999-10,10.68,1999-10,35.5048684706008,21.8946688902038,0.26897627629243104,1.5600624024960903,12.6956802410027,19.6352681693474,35.3972779600838,7.42374522567109,8.66103609661628,4.78777771800527
1999-11,11.63,1999-11,23.188405797101396,20.0449071239028,0.0408246580934884,1.26556440089814,12.9822412737293,9.34884670340886,25.3929373341497,6.77689324351908,3.5109205960400005,2.93937538273117
