TIME,Value,time,index_All_sentiment,index_All_sentiment_(w/o_pos_and_neg),index_Crisis_sentiment,index_Fear_sentiment,index_Hedging_sentiment,index_Negative_sentiment,index_Negative_sentiment_+,index_Opinion_sentiment,index_Positive_sentiment,index_Risk_sentiment
1987-01,12.25,1987-01,11.8254014260043,9.66610631267753,0.0144919135122601,0.405773578343284,7.17349718856877,3.73891368616311,12.0717639557127,1.62309431337313,2.62303634571908,1.23181264854211
1987-02,11.14,1987-02,10.4133545310015,8.74403815580286,0.0,0.476947535771065,6.8362480127186,2.76232114467408,10.5127186009538,1.66931637519872,1.9872813990461,0.775039745627981
1987-03,10.54,1987-03,9.57195271096618,7.5988585405625795,0.0163065633917651,0.391357521402364,5.8377496942519285,3.10640032613127,9.84101100693031,1.2637586628618,1.72034243783122,0.815328169588259
1987-04,10.04,1987-04,21.123855103556306,16.0079214456638,0.0,0.742635530984404,12.37725884974,6.76623483785791,20.8763099265616,2.80551200594108,4.29078306790989,1.40275600297054
1987-05,9.89,1987-05,15.1766261335915,12.4764901957133,0.018621627157781,0.29794603452449603,9.57151635909946,4.618163535129701,15.418707286642697,2.21597363177594,2.7187575650360296,1.39662203683357
1987-06,9.69,1987-06,21.2985878584947,16.101324792546198,0.0145581598485951,0.771582471975542,11.8940165963022,7.86140631824137,21.2840296986461,3.3047022856310897,4.94977434852234,2.31474741592662
1987-07,9.63,1987-07,21.9049963081467,17.9670194437607,0.0,0.7383706620723599,13.782919025350699,7.5067683977356605,23.6278611863155,3.32266797932562,3.32266797932562,1.72286487816884
1987-08,9.55,1987-08,16.7118983002428,15.093081940675097,0.0,0.952244917392753,10.5699185830595,5.76108175022615,18.283102413940803,2.9519592439175297,3.90420416131028,2.52344903109079
1987-09,9.48,1987-09,47.517123287671204,39.3835616438356,0.4280821917808221,0.8561643835616441,27.825342465753398,14.1267123287671,48.801369863013704,8.56164383561644,8.13356164383562,3.8527397260273903
1987-10,9.45,1987-10,17.145105067039598,13.101963655436899,0.0437096368821916,0.7212090085561609,9.55055565875886,5.5183416563766805,16.6205894244533,2.3931026192999902,4.31632664211641,1.7811677029493
1987-11,9.48,1987-11,18.012373717597306,13.3918082856919,0.0783146683373795,1.09640535672331,9.86764821050982,5.716970788628711,17.3075417025608,2.50606938679614,4.85550943691753,1.01809068838593
1987-12,9.25,1987-12,24.6464807861308,20.0127826156427,0.0399456738835184,1.11847886873851,12.782615642725801,9.66685307981145,26.2443077414716,5.312774626507951,4.71358951825517,3.5551649756331303
1988-01,9.21,1988-01,14.159877894040001,11.2083708784641,0.0643630813365453,0.4873204729767,8.00860626344729,4.46863678993729,14.242630427186999,2.10559223229555,3.95373213924492,1.54471395207708
1988-02,9.22,1988-02,10.6899166034875,7.40459944402326,0.0,0.29062421026029805,5.2944149608289095,4.38463482436189,10.753095779631,1.23831185241344,2.5524387161991404,1.42784938084407
1988-03,9.72,1988-03,9.592741044051651,7.33392927516173,0.0,0.32680680911598703,5.5364918250237904,3.35457577592588,9.60235300902565,1.20149562174995,1.93200495977392,1.13421186693195
1988-04,9.47,1988-04,4.45879779143661,3.93791019897906,0.0,0.104177518491509,2.93780602146056,1.1667882071048998,4.70882383581623,0.4583810813626421,0.687571622043962,0.7292426294405658
1988-05,9.47,1988-05,12.559326358764999,10.5435059964276,0.0306200561367695,0.35213064557284995,8.35417198264863,3.3631028323551897,12.8349068639959,1.35238581270732,2.26078081143148,1.18907884664455
1988-06,9.06,1988-06,11.0198037908596,8.55391621881508,0.0176977576941001,0.377552164140803,5.92874882752355,4.00559249143134,11.291169408835799,1.6399922129866102,2.79624571566782,1.36272734244571
1988-07,9.47,1988-07,10.290565162206,7.820283604700348,0.00682398220305441,0.27978327032523104,5.38412195820993,3.88284587353795,10.5567004681251,1.5558679422963997,2.57946527275457,1.2214928143467398
1988-08,10.0,1988-08,9.635651912074632,6.9041166602142,0.0143387677263016,0.379977344746992,4.86084225921624,3.81411221519622,9.63565191207462,1.17577895355673,2.48777620051332,1.14710141810412
1988-09,10.48,1988-09,10.4049465813029,7.8460267043700815,0.00497844334033634,0.348491033823544,5.27217149741619,4.04249599235311,10.5791920982147,1.6030587555883,2.69333784712196,1.43379168201686
1988-10,10.68,1988-10,12.3900144227511,9.65065967147104,0.009679698767774341,0.503344335924266,6.81450793251314,4.53009902331839,12.835280566068802,2.03273674123261,3.03942541308114,1.3261187311850802
1988-11,11.26,1988-11,8.23876414213058,6.22772722554752,0.0216240528664844,0.26381344497111,3.8966543265404905,3.63716569214269,8.76639103207279,1.21959658166972,2.2575511192609703,1.4488115420544498
1988-12,11.55,1988-12,10.8014554857005,7.90820848060222,0.0312783460010634,0.32320957534432204,5.21305766684391,4.75430859216165,11.187221753046998,1.55349118471948,2.65865941009039,1.68903068405742
1989-01,11.19,1989-01,8.29282851539184,6.62999914726699,0.0213183252323697,0.305562661663966,4.732668201586081,2.91350444842386,8.5344362013587,1.22225064665586,1.79784542792985,1.0303857195645298
1989-02,10.78,1989-02,10.9540185963571,7.475162399694308,0.00796076932874793,0.366195389122404,4.64908928798879,5.238186218316138,11.431664756082,1.66380078970831,3.22411157814291,1.6080754044070802
1989-03,11.09,1989-03,11.025646993111101,7.78486315397506,0.0523645503630608,0.477099236641221,5.03863340160119,4.61971699869671,11.0431018432321,1.6116644945075402,3.229147272388749,1.52439024390243
1989-04,12.11,1989-04,8.634255859334,6.11636836694013,0.0104911978849745,0.3671919259741071,3.95518160263538,3.5774984787763,8.87555341068841,1.20648775677206,2.22413395161459,1.10157577792232
