TIME,Value,time,index_All_sentiment,index_All_sentiment_(w/o_pos_and_neg),index_Crisis_sentiment,index_Fear_sentiment,index_Hedging_sentiment,index_Negative_sentiment,index_Negative_sentiment_+,index_Opinion_sentiment,index_Positive_sentiment,index_Risk_sentiment
1992-01,14.68286,1992-01,67.6921968441529,51.192449023704796,0.216153901577923,4.10692412998054,28.5323150082859,34.0802651487859,70.6102745154549,18.7333381367533,12.1766697888896,11.167951581526001
1992-02,12.9115,1992-02,75.290832945556,57.422056770591,0.0930665425779432,4.0483946021405215,34.38808748255,36.575151233131706,78.8738948348067,18.3806421591438,14.5649139134481,12.4709167054443
1992-03,12.25773,1992-03,56.9794952681386,43.57255520504721,0.157728706624605,2.9968454258675,26.4589905362776,25.8280757097792,58.5567823343847,14.5110410094637,11.080441640378499,8.47791798107255
1992-04,12.26714,1992-04,61.881709113870706,47.09534834771621,0.21048200378867604,3.26247105872448,28.8360345190486,28.572932014312702,63.9339086508103,15.259945274679,13.102504735845,9.47169017049042
1992-05,12.62895,1992-05,69.26816095058051,52.2549284364028,0.067512827437213,4.45584661085606,32.473669997299396,34.1614906832297,73.3189305968132,16.405617067242698,14.8528220361868,10.1269241155819
1992-06,11.9835,1992-06,60.417082418678895,46.397924565954895,0.149670724406306,3.6419876272201095,29.2606266214328,26.9906206346038,62.562362801836,14.7924565954899,12.1981640391139,8.2817800838156
1992-07,11.26227,1992-07,67.75261791819571,50.4340821623557,0.0895014767743667,4.9225812225901695,29.5802380739282,33.384050836838696,68.46862973239061,17.9002953548733,17.452787971001502,10.1584176138906
1992-08,11.03381,1992-08,38.9471431628505,31.813966759397893,0.0,2.13995292103573,23.0401597831514,13.6243669305942,40.302446679506396,6.63385405521078,7.13317640345245,3.92324702189885
1992-09,10.87842,1992-09,60.6463272031465,46.826831083235795,0.106303816307005,4.30530456043372,26.363346444137306,27.5858403316678,61.3904539172955,17.3275220580418,14.085255660678198,10.2051663654725
1992-10,10.94533,1992-10,61.902393190736596,43.9949151605593,0.110539987840601,3.42673962305864,27.413916984469104,29.237826783839,61.570773227214794,13.983308461836,13.3753385287127,8.953739015088699
1992-11,10.70182,1992-11,49.2191464170943,36.5337994023792,0.0563793200654,2.6498280430738,21.0858657044596,23.904831707729503,51.1360432993179,12.0651744939955,10.3174155719681,8.0622427693522
1992-12,10.88957,1992-12,57.420422783642394,43.2009986160484,0.16281783398008098,3.28349298526498,27.733304387940606,24.829719681962494,58.4787387045129,12.482700605139598,11.7228840465659,7.6253018914005
