time,country_name,index_All_sentiment,index_All_sentiment_(w/o_pos_and_neg),index_Crisis_sentiment,index_Fear_sentiment,index_Hedging_sentiment,index_Negative_sentiment,index_Negative_sentiment_+,index_Opinion_sentiment,index_Positive_sentiment,index_Risk_sentiment,pred_All_sentiment,pred_All_sentiment_(w/o_pos_and_neg),pred_Crisis_sentiment,pred_Fear_sentiment,pred_Hedging_sentiment,pred_Negative_sentiment,pred_Negative_sentiment_+,pred_Opinion_sentiment,pred_Positive_sentiment,pred_Risk_sentiment
1980-01,Colombia,38.3485387351167,30.9262409154167,0.0,2.01020565950208,17.627957321787502,18.4011133446729,41.2865316220813,9.74176588835626,7.731560228854179,6.64914179681459,,,,,,,,,,
1980-02,Colombia,11.599446631903698,9.47110780036181,0.0,0.42566776630839603,5.21443013727785,5.533680962009151,13.1957007555602,3.08609130573587,1.7026710652335801,2.3411727146961696,,,,,,,,,,
1980-03,Colombia,28.9500337609723,20.5097906819716,0.0,0.50641458474004,15.1080351114112,9.621877110060769,27.9372045914922,3.46049966239027,7.42741390952059,2.1944632005401696,,,,,,,,,,
1980-04,Colombia,19.3514248998412,15.723032731120998,0.0755915035150049,0.9070980421800591,9.826895456950641,6.34968629526041,19.5781994103862,3.7039836722352404,5.51817975659536,2.5701111195101602,,,,,,,,,,
1980-05,Colombia,21.3794858742682,18.579791295495,0.0,0.254517688979384,16.0346144057011,4.07228302367014,22.1430389412064,1.78162382285568,1.0180707559175302,0.509035377958768,,,,,,,,,,
1980-06,Colombia,29.814318529862103,21.535222052067297,0.0957120980091883,1.29211332312404,15.1703675344563,11.1504594180704,29.910030627871198,3.87633996937213,8.66194486983154,2.87136294027565,,,,,,,,,,
1980-07,Colombia,12.6988760764851,8.24697124507371,0.145964092833163,0.437892278499489,5.5466355276601895,5.765581666909929,12.7718581229017,1.8975332068311201,3.21121004232958,1.31367683549846,,,,,,,,,,
1980-08,Colombia,26.873385012919897,18.8630490956072,0.0,0.723514211886304,13.2299741602067,11.1111111111111,26.873385012919897,4.1860465116279,5.994832041343661,2.5839793281653702,,,,,,,,,,
1980-09,Colombia,24.8494940438068,20.2382477263993,0.0,0.7685410529012421,11.7842961444857,11.015755091584401,26.6427565005763,5.63596772127577,6.14832842320994,5.251697194825151,,,,,,,,,,
1980-10,Colombia,40.701935928944,29.6641227956711,0.129349372655542,1.5521924718665099,20.8252489975423,15.4788082611132,40.184538438321795,5.51890656663648,10.951580218169198,4.872159703358769,,,,,,,,,,
1980-11,Colombia,22.402834219026698,16.984474314889997,0.0,0.416796915702823,10.628321350422,8.6485360008336,23.028029592581,5.83515681983953,7.6065437115765295,2.60498072314264,,,,,,,,,,
1980-12,Colombia,35.8471554797705,27.1663308014261,0.0775073631995039,1.39513253759107,18.7180282126802,13.8350643311114,36.234692295768,5.61928383196403,9.882188807936739,3.8753681599751904,,,,,,,,,,
1981-01,Colombia,23.0330949205964,16.1231664444175,0.12122681537155999,0.48490726148623997,11.395320644926601,10.667959752697302,24.124136258940503,3.15189719966056,4.60661898411928,2.9094435689174403,,,,,,,,,,
1981-02,Colombia,32.2845417236662,26.5389876880985,0.136798905608755,1.9151846785225701,18.4678522571819,10.6703146374828,32.8317373461012,7.38714090287277,11.217510259917901,2.4623803009575895,,,,,,,,,,
1981-03,Colombia,10.6218487394957,6.789915966386549,0.20168067226890699,0.0,4.50420168067227,4.369747899159661,10.4201680672268,1.47899159663865,3.69747899159664,0.873949579831932,,,,,,,,,,
1981-04,Colombia,24.301675977653602,17.1787709497206,0.0,0.8379888268156421,10.3351955307262,10.893854748603301,24.581005586592102,5.02793296089385,4.05027932960893,3.9106145251396605,,,,,,,,,,
1981-05,Colombia,9.317183548515901,7.98615732729934,0.0,0.0,4.39238653001464,3.3275655530413903,10.6482097697324,1.9965393318248301,4.12618128577132,2.12964195394649,,,,,,,,,,
1981-06,Colombia,32.9553110262744,25.0392993487536,0.0561419267909274,1.7965416573096697,16.6741522569054,12.912643161913302,34.078149562093,5.55805075230181,8.533572872220969,3.4807994610375,,,,,,,,,,
1981-07,Colombia,10.183986946491801,7.53952624767905,0.112530242502672,0.45012097001069,4.726270185112241,4.2198840938502205,10.409047431497099,1.46289315253474,2.7569909413154705,1.46289315253474,,,,,,,,,,
1981-08,Colombia,25.4164520006869,19.405804568092,0.0,0.7727975270479129,12.965825176026001,9.70290228404601,26.618581487205898,4.72265155418169,6.268246608277509,3.1770565000858597,,,,,,,,,,
1981-09,Colombia,20.811351646352502,20.3747498635619,0.0727669637984355,0.545752228488266,14.6625432053847,4.511551755503,23.503729306894602,4.18410041841004,5.42113880298344,2.43769328724758,,,,,,,,,,
1981-10,Colombia,31.111482813414604,25.5080705862674,0.083633018315631,1.5890273479969799,17.2284017730199,12.2940536923977,33.6204733628836,4.51618298904407,7.10880655682863,3.7634858242033897,,,,,,,,,,
1981-11,Colombia,19.4827467928929,17.9735199286547,0.0,0.274404884406942,14.1318515469575,4.2532757083076,21.1291760993345,2.94985250737463,2.05803663305206,1.5778280853399098,,,,,,,,,,
1981-12,Colombia,23.2267548695332,22.932745314222696,0.147004777655273,1.3965453877251002,13.8919514884233,7.71775082690187,27.1958838662256,4.85115766262403,6.9827269386255,3.89562660786475,,,,,,,,,,
1982-01,Colombia,33.233451375646894,31.326614001634397,0.0,1.3620266957232299,19.6131844184146,9.26178153091801,37.591936801961296,9.8065922092073,11.4410242440751,2.99645873059112,,,,,,,,1.0,,
