time,country_name,index_All_sentiment,index_All_sentiment_(w/o_pos_and_neg),index_Crisis_sentiment,index_Fear_sentiment,index_Hedging_sentiment,index_Negative_sentiment,index_Negative_sentiment_+,index_Opinion_sentiment,index_Positive_sentiment,index_Risk_sentiment,pred_All_sentiment,pred_All_sentiment_(w/o_pos_and_neg),pred_Crisis_sentiment,pred_Fear_sentiment,pred_Hedging_sentiment,pred_Negative_sentiment,pred_Negative_sentiment_+,pred_Opinion_sentiment,pred_Positive_sentiment,pred_Risk_sentiment
2003-08,Mexico,32.4902702644102,23.427251932395897,0.0216818620383118,1.5610940667584499,14.537688496688002,14.516006634649699,33.184089849636194,7.42603774812181,7.762106609715639,3.92441702893444,,,,,,,,,,
2003-09,Mexico,43.37756416954001,32.4591648382266,0.10448229025180199,2.71653954654686,19.8690488628843,19.555601992129,43.7084247553374,11.040295336607098,9.90840385887925,6.42566085048584,,,,1.0,,,,1.0,,
2003-10,Mexico,27.763959706504195,20.8929237657008,0.0414542138208348,1.33689839572192,13.037350246652501,11.6589976371097,27.743232599593803,6.4357666956846105,6.269949840401269,4.26978402354599,,,,,,,,,,
2003-11,Mexico,18.7350531725436,14.410013738360501,0.0610593802472904,0.997303210705744,8.67043199511524,7.85630692515136,19.294764158143803,4.71174884241591,4.07062534981936,2.86979087162265,,,,,,,,,,
2003-12,Mexico,28.449338293730804,21.3082088434825,0.0691077043572407,1.07116941753723,13.499038251114301,11.828935395814302,28.5875537024453,6.5767498646640705,5.64379585584132,3.81244169037444,,,,,,,,,,
2004-01,Mexico,47.7133411391967,36.6244231696396,0.137750533783318,2.63447895860596,21.2824574695226,21.1102693022934,48.4020938081133,12.1909222398236,11.5882636545216,7.937874509263719,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0
2004-02,Mexico,43.158742112233604,32.823495806175195,0.337583422057181,2.51889168765743,19.787582123659398,18.5151523020592,43.4703575787479,10.4131501726869,9.660079461943962,6.72570048560076,,,1.0,,,,,,,
2004-03,Mexico,60.0465987945096,41.91358962670321,0.25325431798612097,3.31763156561819,27.0475611609178,26.0851947525705,57.919262523426106,11.3204680139796,15.600465987945,7.97751101656283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
2004-04,Mexico,37.8085514219771,29.671791260806604,0.0586785588545945,2.0537495599108,19.011853068888602,15.510699057231099,38.6887298047961,9.05605758322575,7.4521769745335105,5.65270116965927,,,,,,,,,,
2004-05,Mexico,32.9562066992945,25.3130362931418,0.0476705014936757,1.71613805377232,16.811796860102902,12.918705904786101,33.035657535117195,7.21413589270959,7.611390071823549,4.54458780906375,,,,,,,,,,
2004-06,Mexico,40.3782315662408,29.594608188311,0.18106830298762697,2.21305703651544,17.925761995775,19.2938336183482,41.2835730811789,9.23448345236898,9.95875666431948,6.29715320390302,,,,,,,,,,
