LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,STINT,TOT,PC_PA,M,1995-10,5.61,
FIN,STINT,TOT,PC_PA,M,1995-11,4.93,
FIN,STINT,TOT,PC_PA,M,1995-12,4.54,
FIN,STINT,TOT,PC_PA,M,1996-01,4.2,
FIN,STINT,TOT,PC_PA,M,1996-02,4.28,
FIN,STINT,TOT,PC_PA,M,1996-03,4.01,
FIN,STINT,TOT,PC_PA,M,1996-04,3.82,
FIN,STINT,TOT,PC_PA,M,1996-05,3.76,
FIN,STINT,TOT,PC_PA,M,1996-06,3.72,
FIN,STINT,TOT,PC_PA,M,1996-07,3.63,
FIN,STINT,TOT,PC_PA,M,1996-08,3.54,
FIN,STINT,TOT,PC_PA,M,1996-09,3.28,
FIN,STINT,TOT,PC_PA,M,1996-10,3.1,
FIN,STINT,TOT,PC_PA,M,1996-11,3.08,
FIN,STINT,TOT,PC_PA,M,1996-12,3.08,
FIN,STINT,TOT,PC_PA,M,1997-01,3.07,
FIN,STINT,TOT,PC_PA,M,1997-02,3.07,
FIN,STINT,TOT,PC_PA,M,1997-03,3.07,
FIN,STINT,TOT,PC_PA,M,1997-04,3.08,
FIN,STINT,TOT,PC_PA,M,1997-05,3.08,
FIN,STINT,TOT,PC_PA,M,1997-06,3.07,
FIN,STINT,TOT,PC_PA,M,1997-07,3.08,
FIN,STINT,TOT,PC_PA,M,1997-08,3.13,
FIN,STINT,TOT,PC_PA,M,1997-09,3.31,
FIN,STINT,TOT,PC_PA,M,1997-10,3.57,
FIN,STINT,TOT,PC_PA,M,1997-11,3.65,
FIN,STINT,TOT,PC_PA,M,1997-12,3.6,
FIN,STINT,TOT,PC_PA,M,1998-01,3.48,
FIN,STINT,TOT,PC_PA,M,1998-02,3.42,
FIN,STINT,TOT,PC_PA,M,1998-03,3.47,
FIN,STINT,TOT,PC_PA,M,1998-04,3.63,
FIN,STINT,TOT,PC_PA,M,1998-05,3.75,
FIN,STINT,TOT,PC_PA,M,1998-06,3.73,
FIN,STINT,TOT,PC_PA,M,1998-07,3.67,
FIN,STINT,TOT,PC_PA,M,1998-08,3.61,
FIN,STINT,TOT,PC_PA,M,1998-09,3.54,
FIN,STINT,TOT,PC_PA,M,1998-10,3.54,
FIN,STINT,TOT,PC_PA,M,1998-11,3.61,
FIN,STINT,TOT,PC_PA,M,1998-12,3.37,
FIN,STINT,TOT,PC_PA,M,1999-01,3.1321,
FIN,STINT,TOT,PC_PA,M,1999-02,3.0934,
FIN,STINT,TOT,PC_PA,M,1999-03,3.0467,
FIN,STINT,TOT,PC_PA,M,1999-04,2.6965,
FIN,STINT,TOT,PC_PA,M,1999-05,2.5789999999999997,
FIN,STINT,TOT,PC_PA,M,1999-06,2.6267,
FIN,STINT,TOT,PC_PA,M,1999-07,2.6765,
FIN,STINT,TOT,PC_PA,M,1999-08,2.695,
FIN,STINT,TOT,PC_PA,M,1999-09,2.7267,
FIN,STINT,TOT,PC_PA,M,1999-10,3.3757,
FIN,STINT,TOT,PC_PA,M,1999-11,3.4677,
FIN,STINT,TOT,PC_PA,M,1999-12,3.446,
FIN,STINT,TOT,PC_PA,M,2000-01,3.3431,
FIN,STINT,TOT,PC_PA,M,2000-02,3.5368,
FIN,STINT,TOT,PC_PA,M,2000-03,3.747,
FIN,STINT,TOT,PC_PA,M,2000-04,3.9253,
FIN,STINT,TOT,PC_PA,M,2000-05,4.362,
FIN,STINT,TOT,PC_PA,M,2000-06,4.5017,
FIN,STINT,TOT,PC_PA,M,2000-07,4.5829,
FIN,STINT,TOT,PC_PA,M,2000-08,4.7771,
FIN,STINT,TOT,PC_PA,M,2000-09,4.8528,
FIN,STINT,TOT,PC_PA,M,2000-10,5.0413,
FIN,STINT,TOT,PC_PA,M,2000-11,5.092,
FIN,STINT,TOT,PC_PA,M,2000-12,4.9392,
FIN,STINT,TOT,PC_PA,M,2001-01,4.7707,
FIN,STINT,TOT,PC_PA,M,2001-02,4.7558,
