LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IDN,STINT,TOT,PC_PA,M,2006-10,10.72,
IDN,STINT,TOT,PC_PA,M,2006-11,10.25,
IDN,STINT,TOT,PC_PA,M,2006-12,9.71,
IDN,STINT,TOT,PC_PA,M,2007-01,9.26,
IDN,STINT,TOT,PC_PA,M,2007-02,8.83,
IDN,STINT,TOT,PC_PA,M,2007-03,8.52,
IDN,STINT,TOT,PC_PA,M,2007-04,8.3,
IDN,STINT,TOT,PC_PA,M,2007-05,8.06,
IDN,STINT,TOT,PC_PA,M,2007-06,7.87,
IDN,STINT,TOT,PC_PA,M,2007-07,7.69,
IDN,STINT,TOT,PC_PA,M,2007-08,7.51,
IDN,STINT,TOT,PC_PA,M,2007-09,7.44,
IDN,STINT,TOT,PC_PA,M,2007-10,7.41,
IDN,STINT,TOT,PC_PA,M,2007-11,7.4,
IDN,STINT,TOT,PC_PA,M,2007-12,7.42,
IDN,STINT,TOT,PC_PA,M,2008-01,8.043425,
IDN,STINT,TOT,PC_PA,M,2008-02,8.055278,
IDN,STINT,TOT,PC_PA,M,2008-03,8.103703,
IDN,STINT,TOT,PC_PA,M,2008-04,8.14678,
IDN,STINT,TOT,PC_PA,M,2008-05,8.420811,
IDN,STINT,TOT,PC_PA,M,2008-06,9.139763,
IDN,STINT,TOT,PC_PA,M,2008-07,9.648686,
IDN,STINT,TOT,PC_PA,M,2008-08,9.852502000000001,
IDN,STINT,TOT,PC_PA,M,2008-09,10.5881,
IDN,STINT,TOT,PC_PA,M,2008-10,11.78479,
IDN,STINT,TOT,PC_PA,M,2008-11,12.396180000000001,
IDN,STINT,TOT,PC_PA,M,2008-12,12.17102,
IDN,STINT,TOT,PC_PA,M,2009-01,11.17897,
IDN,STINT,TOT,PC_PA,M,2009-02,10.01041,
IDN,STINT,TOT,PC_PA,M,2009-03,9.443971000000001,
IDN,STINT,TOT,PC_PA,M,2009-04,8.948675999999999,
IDN,STINT,TOT,PC_PA,M,2009-05,8.350762,
IDN,STINT,TOT,PC_PA,M,2009-06,7.672517999999999,
IDN,STINT,TOT,PC_PA,M,2009-07,7.330278999999999,
IDN,STINT,TOT,PC_PA,M,2009-08,7.0739399999999995,
IDN,STINT,TOT,PC_PA,M,2009-09,6.982196000000001,
IDN,STINT,TOT,PC_PA,M,2009-10,7.014144,
IDN,STINT,TOT,PC_PA,M,2009-11,7.123530000000001,
IDN,STINT,TOT,PC_PA,M,2009-12,7.121944,
IDN,STINT,TOT,PC_PA,M,2010-01,7.03103,
IDN,STINT,TOT,PC_PA,M,2010-02,7.036067999999999,
IDN,STINT,TOT,PC_PA,M,2010-03,7.070456,
IDN,STINT,TOT,PC_PA,M,2010-04,7.004875,
IDN,STINT,TOT,PC_PA,M,2010-05,6.903783,
IDN,STINT,TOT,PC_PA,M,2010-06,6.926274,
IDN,STINT,TOT,PC_PA,M,2010-07,6.950079,
IDN,STINT,TOT,PC_PA,M,2010-08,6.96645,
IDN,STINT,TOT,PC_PA,M,2010-09,6.933375,
IDN,STINT,TOT,PC_PA,M,2010-10,6.876807,
IDN,STINT,TOT,PC_PA,M,2010-11,6.735130000000001,
IDN,STINT,TOT,PC_PA,M,2010-12,6.636913000000001,
IDN,STINT,TOT,PC_PA,M,2011-01,6.606611,
IDN,STINT,TOT,PC_PA,M,2011-02,6.666242,
IDN,STINT,TOT,PC_PA,M,2011-03,6.868549000000001,
IDN,STINT,TOT,PC_PA,M,2011-04,7.08838,
IDN,STINT,TOT,PC_PA,M,2011-05,7.464086,
IDN,STINT,TOT,PC_PA,M,2011-06,7.13548,
IDN,STINT,TOT,PC_PA,M,2011-07,7.12219,
IDN,STINT,TOT,PC_PA,M,2011-08,6.835789999999999,
IDN,STINT,TOT,PC_PA,M,2011-09,6.2953,
IDN,STINT,TOT,PC_PA,M,2011-10,5.928,
IDN,STINT,TOT,PC_PA,M,2011-11,5.503091,
IDN,STINT,TOT,PC_PA,M,2011-12,5.323524,
